TypeDescription,Manufacturer,Age,AssetCondition,Operations,MonthsToFailure
Physiologic Monitoring System,Datex-Ohmeda Inc,18,0,1,30.6
Physiologic Monitoring System,Koninklijke Philips N.V.,4,0,1,46.2
Defibrillator,Datex-Ohmeda Inc,21,1,1,5.4
Defibrillator,Physio-Control Inc,23,1,2,2.0
Physiologic Monitoring System,B. Braun Melsungen AG,5,0,2,38.8
Radiographic System,Drager Medical AG & Co KGaA,2,1,1,31.6
Physiologic Monitoring System,Welch Allyn Inc,21,0,2,20.1
Radiographic System,Physio-Control Inc,0,0,2,36.2
Defibrillator,Canon Inc (Toshiba Medical),19,1,1,9.2
Ventilator,Welch Allyn Inc,21,0,1,17.4
Sphygmomanometers,Omron Healthcare Co Ltd,15,1,2,12.7
Defibrillator,Physio-Control Inc,22,0,2,12.9
Defibrillator,GE Healthcare,10,1,1,23.3
Infusion Pump,Omron Healthcare Co Ltd,12,0,1,35.1
Infusion Pump,Siemens Healthineers,26,2,1,2.0
Infusion Pump,Physio-Control Inc,9,0,1,40.5
Sphygmomanometers,Omron Healthcare Co Ltd,2,2,2,21.5
Infusion Pump,Koninklijke Philips N.V.,8,0,1,42.4
Radiographic System,Welch Allyn Inc,27,1,2,2.0
Physiologic Monitoring System,Medtronic,11,0,2,28.9
Ventilator,Medtronic,22,2,1,2.0
Defibrillator,Koninklijke Philips N.V.,13,0,1,35.9
Radiographic System,Med-Vantage Sdn Bhd,0,0,1,44.4
Ventilator,Siemens Healthineers,17,1,2,5.3
Radiographic System,Canon Inc (Toshiba Medical),16,0,1,22.6
Radiographic System,Siemens Healthineers,26,0,2,8.4
Defibrillator,GE Healthcare,8,2,2,4.3
Physiologic Monitoring System,B. Braun Melsungen AG,8,2,1,18.9
Infusion Pump,Datex-Ohmeda Inc,22,0,2,16.7
Sphygmomanometers,Welch Allyn Inc,9,2,2,11.4
Physiologic Monitoring System,Siemens Healthineers,18,1,1,15.5
Sphygmomanometers,Drager Medical AG & Co KGaA,28,0,1,18.5
Defibrillator,GE Healthcare,14,1,2,10.1
Defibrillator,Nihon Kohden Corp,4,1,2,27.1
Defibrillator,Baxter Healthcare Corp,14,2,1,2.0
Ventilator,Nihon Kohden Corp,19,0,1,20.7
Sphygmomanometers,Canon Inc (Toshiba Medical),22,1,1,15.2
Physiologic Monitoring System,GE Healthcare,29,0,2,9.6
Physiologic Monitoring System,Welch Allyn Inc,24,0,1,22.7
Radiographic System,Omron Healthcare Co Ltd,27,0,1,7.8
Radiographic System,Physio-Control Inc,1,2,2,14.3
Radiographic System,Datex-Ohmeda Inc,12,2,1,5.0
Defibrillator,Baxter Healthcare Corp,23,1,2,2.0
Physiologic Monitoring System,Nihon Kohden Corp,15,1,1,15.3
Sphygmomanometers,Med-Vantage Sdn Bhd,14,0,2,33.1
Defibrillator,Baxter Healthcare Corp,24,0,1,18.1
Ventilator,Drager Medical AG & Co KGaA,9,0,2,27.3
Radiographic System,Drager Medical AG & Co KGaA,13,0,2,20.7
Defibrillator,Omron Healthcare Co Ltd,9,1,1,21.0
Defibrillator,Canon Inc (Toshiba Medical),24,1,1,2.0
Ventilator,Drager Medical AG & Co KGaA,13,0,1,29.8
Infusion Pump,GE Healthcare,25,0,1,24.2
Physiologic Monitoring System,Datex-Ohmeda Inc,29,0,2,7.9
Sphygmomanometers,Welch Allyn Inc,22,0,2,20.2
Infusion Pump,Omron Healthcare Co Ltd,30,2,1,2.0
Radiographic System,GE Healthcare,8,1,2,12.1
Defibrillator,Medtronic,24,2,2,2.0
Ventilator,Med-Vantage Sdn Bhd,13,1,2,10.5
Ventilator,Physio-Control Inc,2,0,1,40.2
Physiologic Monitoring System,Blease Medical Equipment Ltd,19,0,1,30.3
Infusion Pump,Physio-Control Inc,15,2,1,3.3
Physiologic Monitoring System,Drager Medical AG & Co KGaA,1,1,1,40.5
Defibrillator,Medtronic,9,0,1,39.0
Physiologic Monitoring System,Siemens Healthineers,2,1,1,37.9
Sphygmomanometers,Siemens Healthineers,10,1,1,29.2
Ventilator,Welch Allyn Inc,10,1,2,15.1
Ventilator,Drager Medical AG & Co KGaA,20,2,1,2.0
Radiographic System,Nihon Kohden Corp,20,1,1,2.0
Radiographic System,GE Healthcare,21,1,1,2.0
Defibrillator,Drager Medical AG & Co KGaA,12,0,1,31.4
Sphygmomanometers,B. Braun Melsungen AG,6,0,2,39.8
Infusion Pump,Baxter Healthcare Corp,22,0,1,21.4
Physiologic Monitoring System,Welch Allyn Inc,16,0,1,32.4
Defibrillator,Physio-Control Inc,29,1,1,2.0
Radiographic System,Siemens Healthineers,1,1,1,32.8
Physiologic Monitoring System,Med-Vantage Sdn Bhd,11,0,1,38.4
Radiographic System,Koninklijke Philips N.V.,24,2,2,2.0
Physiologic Monitoring System,Blease Medical Equipment Ltd,9,0,1,38.5
Infusion Pump,Siemens Healthineers,17,0,1,25.6
Defibrillator,Welch Allyn Inc,21,0,1,18.7
Physiologic Monitoring System,Physio-Control Inc,26,0,1,16.4
Sphygmomanometers,Welch Allyn Inc,10,0,2,36.6
Ventilator,Baxter Healthcare Corp,15,1,2,5.3
Sphygmomanometers,Physio-Control Inc,16,0,2,31.3
Sphygmomanometers,Canon Inc (Toshiba Medical),18,2,1,4.8
Ventilator,Koninklijke Philips N.V.,17,0,1,22.0
Sphygmomanometers,Drager Medical AG & Co KGaA,2,0,2,47.3
Physiologic Monitoring System,Canon Inc (Toshiba Medical),20,0,2,23.8
Physiologic Monitoring System,Medtronic,26,1,1,10.1
Physiologic Monitoring System,Med-Vantage Sdn Bhd,25,0,1,24.1
Ventilator,Koninklijke Philips N.V.,15,2,1,2.0
Sphygmomanometers,Physio-Control Inc,5,1,1,35.1
Ventilator,Physio-Control Inc,24,1,1,2.0
Physiologic Monitoring System,B. Braun Melsungen AG,11,1,1,26.1
Sphygmomanometers,Omron Healthcare Co Ltd,10,0,2,37.8
Sphygmomanometers,B. Braun Melsungen AG,14,0,1,35.3
Radiographic System,Datex-Ohmeda Inc,14,0,1,24.1
Radiographic System,B. Braun Melsungen AG,15,1,1,9.5
Infusion Pump,GE Healthcare,9,0,2,27.7
Defibrillator,Medtronic,11,0,1,29.5
Radiographic System,Canon Inc (Toshiba Medical),27,2,2,2.0
Ventilator,Baxter Healthcare Corp,12,0,1,33.1
Radiographic System,Canon Inc (Toshiba Medical),3,2,2,13.5
Infusion Pump,Canon Inc (Toshiba Medical),6,1,1,33.0
Sphygmomanometers,Koninklijke Philips N.V.,21,0,1,25.2
Infusion Pump,Physio-Control Inc,1,0,1,46.7
Sphygmomanometers,Datex-Ohmeda Inc,25,0,1,18.0
Sphygmomanometers,Datex-Ohmeda Inc,26,1,1,7.2
Defibrillator,Baxter Healthcare Corp,26,1,2,2.0
Radiographic System,Medtronic,26,1,1,2.0
Ventilator,Koninklijke Philips N.V.,14,2,1,2.9
Ventilator,Siemens Healthineers,30,1,1,2.0
Physiologic Monitoring System,Welch Allyn Inc,7,0,2,36.7
Sphygmomanometers,B. Braun Melsungen AG,6,0,2,38.8
Ventilator,Welch Allyn Inc,30,2,2,2.0
Defibrillator,Welch Allyn Inc,14,0,1,28.9
Sphygmomanometers,Drager Medical AG & Co KGaA,22,0,2,26.3
Defibrillator,Welch Allyn Inc,13,1,2,12.8
Ventilator,Datex-Ohmeda Inc,30,0,2,2.0
Ventilator,B. Braun Melsungen AG,7,2,1,8.5
Physiologic Monitoring System,B. Braun Melsungen AG,27,1,1,3.3
Ventilator,GE Healthcare,11,0,1,26.8
Sphygmomanometers,Medtronic,12,2,1,11.0
Sphygmomanometers,Drager Medical AG & Co KGaA,29,0,2,14.2
Sphygmomanometers,Welch Allyn Inc,10,0,1,41.3
Physiologic Monitoring System,Omron Healthcare Co Ltd,16,0,1,30.1
Physiologic Monitoring System,Siemens Healthineers,30,0,2,6.1
Ventilator,Canon Inc (Toshiba Medical),28,1,2,2.0
Infusion Pump,Physio-Control Inc,16,0,1,33.0
Infusion Pump,GE Healthcare,23,0,2,16.5
Physiologic Monitoring System,B. Braun Melsungen AG,3,0,1,45.1
Ventilator,B. Braun Melsungen AG,20,1,2,4.1
Infusion Pump,Nihon Kohden Corp,7,2,2,16.2
Ventilator,Drager Medical AG & Co KGaA,4,0,1,41.0
Ventilator,Welch Allyn Inc,25,0,2,9.7
Ventilator,Med-Vantage Sdn Bhd,15,0,2,23.6
Radiographic System,Drager Medical AG & Co KGaA,3,0,1,36.0
Sphygmomanometers,Nihon Kohden Corp,27,1,1,12.1
Ventilator,Blease Medical Equipment Ltd,21,1,2,2.9
Radiographic System,Canon Inc (Toshiba Medical),28,0,1,8.8
Physiologic Monitoring System,Drager Medical AG & Co KGaA,14,0,1,33.5
Infusion Pump,B. Braun Melsungen AG,11,0,2,28.4
Sphygmomanometers,Datex-Ohmeda Inc,4,1,2,31.5
Infusion Pump,Koninklijke Philips N.V.,29,0,1,14.4
Sphygmomanometers,B. Braun Melsungen AG,22,2,1,2.0
Infusion Pump,GE Healthcare,15,1,1,18.8
Sphygmomanometers,Medtronic,13,0,1,35.1
Infusion Pump,Blease Medical Equipment Ltd,9,1,1,25.8
Infusion Pump,Nihon Kohden Corp,6,2,2,9.8
Infusion Pump,Siemens Healthineers,12,1,1,19.3
Infusion Pump,Physio-Control Inc,19,0,1,27.2
Physiologic Monitoring System,Siemens Healthineers,27,0,1,15.5
Ventilator,Med-Vantage Sdn Bhd,28,2,2,2.0
Defibrillator,B. Braun Melsungen AG,4,1,1,27.7
Radiographic System,GE Healthcare,28,1,1,2.0
Defibrillator,Welch Allyn Inc,2,2,1,20.9
Defibrillator,B. Braun Melsungen AG,14,2,2,2.0
Sphygmomanometers,Medtronic,3,2,2,19.2
Ventilator,Datex-Ohmeda Inc,14,0,1,28.1
Sphygmomanometers,Canon Inc (Toshiba Medical),13,1,1,25.0
Ventilator,Omron Healthcare Co Ltd,19,1,1,5.8
Ventilator,Physio-Control Inc,18,1,1,13.9
Infusion Pump,Medtronic,12,1,1,24.3
Physiologic Monitoring System,Nihon Kohden Corp,9,0,1,41.6
Infusion Pump,Welch Allyn Inc,20,1,1,10.1
Physiologic Monitoring System,Nihon Kohden Corp,4,1,1,31.1
Sphygmomanometers,B. Braun Melsungen AG,26,0,1,21.1
Physiologic Monitoring System,GE Healthcare,22,1,2,4.5
Sphygmomanometers,Medtronic,19,0,1,31.8
Defibrillator,Baxter Healthcare Corp,28,0,1,12.3
Defibrillator,Welch Allyn Inc,19,0,1,22.5
Physiologic Monitoring System,Med-Vantage Sdn Bhd,24,0,2,17.9
Physiologic Monitoring System,GE Healthcare,5,1,2,28.5
Sphygmomanometers,Datex-Ohmeda Inc,30,1,1,2.0
Infusion Pump,Welch Allyn Inc,3,1,1,34.1
Sphygmomanometers,Nihon Kohden Corp,1,2,1,29.0
Infusion Pump,Welch Allyn Inc,21,0,1,26.0
Defibrillator,Omron Healthcare Co Ltd,15,0,1,28.1
Ventilator,B. Braun Melsungen AG,17,2,2,2.0
Physiologic Monitoring System,Drager Medical AG & Co KGaA,4,0,1,49.2
Infusion Pump,Nihon Kohden Corp,21,2,2,2.0
Sphygmomanometers,Omron Healthcare Co Ltd,3,2,1,30.0
Defibrillator,Med-Vantage Sdn Bhd,29,1,2,2.0
Infusion Pump,Blease Medical Equipment Ltd,12,2,2,2.8
Sphygmomanometers,Physio-Control Inc,18,0,1,34.5
Physiologic Monitoring System,Koninklijke Philips N.V.,22,0,1,22.0
Physiologic Monitoring System,Drager Medical AG & Co KGaA,1,1,1,38.9
Radiographic System,B. Braun Melsungen AG,12,0,1,28.9
Ventilator,Baxter Healthcare Corp,10,2,1,7.1
Radiographic System,Drager Medical AG & Co KGaA,29,0,2,2.0
Defibrillator,Physio-Control Inc,21,1,1,3.1
Infusion Pump,GE Healthcare,28,1,2,2.0
Defibrillator,Baxter Healthcare Corp,3,1,1,33.4
Sphygmomanometers,Nihon Kohden Corp,21,0,2,23.8
Physiologic Monitoring System,Baxter Healthcare Corp,19,0,1,32.1
Radiographic System,Medtronic,19,2,2,2.0
Radiographic System,Physio-Control Inc,14,0,1,25.7
Radiographic System,Blease Medical Equipment Ltd,3,2,1,18.0
Defibrillator,Welch Allyn Inc,8,1,2,17.7
Physiologic Monitoring System,Omron Healthcare Co Ltd,6,1,1,30.5
Infusion Pump,Drager Medical AG & Co KGaA,18,1,2,9.4
Sphygmomanometers,Medtronic,18,0,2,25.5
Infusion Pump,Canon Inc (Toshiba Medical),5,1,1,33.3
Defibrillator,Baxter Healthcare Corp,5,2,1,11.0
Sphygmomanometers,Medtronic,19,0,2,29.4
Radiographic System,Med-Vantage Sdn Bhd,14,2,1,2.0
Ventilator,Siemens Healthineers,14,1,2,4.0
Defibrillator,Physio-Control Inc,24,0,2,10.8
Defibrillator,Omron Healthcare Co Ltd,19,0,1,21.4
Physiologic Monitoring System,Datex-Ohmeda Inc,8,2,1,16.2
Infusion Pump,GE Healthcare,3,0,2,42.9
Defibrillator,Baxter Healthcare Corp,17,2,1,2.0
Defibrillator,Physio-Control Inc,17,2,1,4.1
Radiographic System,Datex-Ohmeda Inc,4,0,1,37.1
Radiographic System,Datex-Ohmeda Inc,19,0,1,21.2
Sphygmomanometers,Canon Inc (Toshiba Medical),22,1,1,15.7
Ventilator,B. Braun Melsungen AG,29,0,1,2.0
Physiologic Monitoring System,Omron Healthcare Co Ltd,10,1,2,19.4
Ventilator,Medtronic,4,0,1,36.6
Sphygmomanometers,Datex-Ohmeda Inc,21,1,1,16.3
Radiographic System,Siemens Healthineers,25,1,2,2.0
Infusion Pump,Canon Inc (Toshiba Medical),3,0,2,43.0
Radiographic System,Physio-Control Inc,28,0,2,2.0
Physiologic Monitoring System,Canon Inc (Toshiba Medical),11,0,1,37.2
Radiographic System,Koninklijke Philips N.V.,1,0,2,37.6
Physiologic Monitoring System,Koninklijke Philips N.V.,12,1,1,22.9
Physiologic Monitoring System,Welch Allyn Inc,9,2,1,17.2
Physiologic Monitoring System,Canon Inc (Toshiba Medical),8,0,1,38.9
Sphygmomanometers,Med-Vantage Sdn Bhd,9,1,1,28.8
Physiologic Monitoring System,Welch Allyn Inc,30,1,2,2.0
Physiologic Monitoring System,Baxter Healthcare Corp,6,0,1,43.3
Infusion Pump,Welch Allyn Inc,3,0,2,39.3
Ventilator,Nihon Kohden Corp,18,2,2,2.0
Defibrillator,Medtronic,9,1,2,16.4
Ventilator,Nihon Kohden Corp,29,1,1,2.0
Physiologic Monitoring System,Datex-Ohmeda Inc,30,1,2,2.0
Infusion Pump,Physio-Control Inc,2,0,1,46.2
Radiographic System,Baxter Healthcare Corp,24,1,1,2.0
Infusion Pump,Drager Medical AG & Co KGaA,20,1,2,6.6
Physiologic Monitoring System,Datex-Ohmeda Inc,28,1,1,2.0
Infusion Pump,Medtronic,30,0,1,10.7
Infusion Pump,Koninklijke Philips N.V.,18,0,2,25.1
Physiologic Monitoring System,Omron Healthcare Co Ltd,30,0,1,13.9
Sphygmomanometers,Med-Vantage Sdn Bhd,20,2,2,2.0
Infusion Pump,Welch Allyn Inc,1,0,1,51.9
Defibrillator,B. Braun Melsungen AG,26,1,1,2.0
Defibrillator,Physio-Control Inc,19,0,1,23.4
Infusion Pump,GE Healthcare,9,0,1,41.5
Sphygmomanometers,Omron Healthcare Co Ltd,1,1,1,41.2
Radiographic System,Nihon Kohden Corp,1,1,2,26.8
Physiologic Monitoring System,Welch Allyn Inc,27,1,1,3.2
Defibrillator,Baxter Healthcare Corp,23,0,2,14.2
Radiographic System,Nihon Kohden Corp,16,1,1,11.2
Infusion Pump,Physio-Control Inc,15,0,1,28.1
Radiographic System,Nihon Kohden Corp,15,0,2,22.1
Ventilator,Physio-Control Inc,13,1,2,10.3
Defibrillator,Nihon Kohden Corp,6,0,1,38.5
Infusion Pump,Omron Healthcare Co Ltd,20,0,2,18.9
Physiologic Monitoring System,Canon Inc (Toshiba Medical),30,1,2,2.0
Sphygmomanometers,Siemens Healthineers,10,1,1,30.1
Infusion Pump,Omron Healthcare Co Ltd,23,2,2,2.0
Physiologic Monitoring System,Canon Inc (Toshiba Medical),0,0,1,48.1
Sphygmomanometers,Drager Medical AG & Co KGaA,10,0,2,34.3
Sphygmomanometers,Datex-Ohmeda Inc,22,0,2,22.4
Infusion Pump,Datex-Ohmeda Inc,20,2,2,2.0
Radiographic System,Medtronic,3,1,1,30.4
Radiographic System,Med-Vantage Sdn Bhd,6,1,1,23.5
Sphygmomanometers,Med-Vantage Sdn Bhd,25,0,2,19.6
Radiographic System,Welch Allyn Inc,14,1,1,11.6
Ventilator,Omron Healthcare Co Ltd,17,0,1,21.8
Sphygmomanometers,Omron Healthcare Co Ltd,11,1,2,23.2
Sphygmomanometers,GE Healthcare,30,2,1,2.0
Physiologic Monitoring System,GE Healthcare,16,2,1,5.6
Radiographic System,Med-Vantage Sdn Bhd,0,1,1,29.3
Sphygmomanometers,Medtronic,10,1,1,25.5
Ventilator,B. Braun Melsungen AG,27,2,2,2.0
Physiologic Monitoring System,Datex-Ohmeda Inc,0,1,2,35.8
Infusion Pump,B. Braun Melsungen AG,14,0,1,31.3
Sphygmomanometers,Welch Allyn Inc,27,1,2,3.3
Ventilator,Physio-Control Inc,20,0,2,13.6
Defibrillator,Med-Vantage Sdn Bhd,9,1,2,20.6
Ventilator,Med-Vantage Sdn Bhd,6,1,1,21.4
Ventilator,Physio-Control Inc,1,1,2,25.9
Physiologic Monitoring System,Blease Medical Equipment Ltd,9,0,1,39.8
Infusion Pump,Koninklijke Philips N.V.,23,0,2,16.5
Defibrillator,Nihon Kohden Corp,3,1,2,29.4
Radiographic System,GE Healthcare,11,2,1,4.4
Radiographic System,Koninklijke Philips N.V.,18,1,2,5.0
Ventilator,Drager Medical AG & Co KGaA,25,0,1,12.1
Physiologic Monitoring System,Medtronic,10,2,2,11.7
Physiologic Monitoring System,Medtronic,7,2,1,19.8
Radiographic System,Physio-Control Inc,17,0,2,16.1
Defibrillator,Omron Healthcare Co Ltd,10,0,1,33.0
Infusion Pump,Datex-Ohmeda Inc,10,1,1,26.7
Defibrillator,B. Braun Melsungen AG,12,2,1,4.8
Sphygmomanometers,GE Healthcare,2,2,1,27.9
Sphygmomanometers,Koninklijke Philips N.V.,11,2,1,14.8
Infusion Pump,B. Braun Melsungen AG,2,1,2,31.8
Radiographic System,Omron Healthcare Co Ltd,9,1,1,19.4
Infusion Pump,Koninklijke Philips N.V.,26,0,1,15.5
Physiologic Monitoring System,Med-Vantage Sdn Bhd,16,0,1,34.0
Sphygmomanometers,Canon Inc (Toshiba Medical),21,1,2,10.8
Ventilator,Nihon Kohden Corp,1,1,2,26.1
Ventilator,Drager Medical AG & Co KGaA,16,1,2,7.7
Radiographic System,Blease Medical Equipment Ltd,15,1,2,2.8
Physiologic Monitoring System,Drager Medical AG & Co KGaA,1,0,1,55.9
Defibrillator,B. Braun Melsungen AG,27,1,1,2.0
Physiologic Monitoring System,B. Braun Melsungen AG,21,0,1,19.8
Ventilator,Blease Medical Equipment Ltd,29,0,2,5.3
Ventilator,B. Braun Melsungen AG,19,1,2,2.0
Sphygmomanometers,Blease Medical Equipment Ltd,5,1,1,38.6
Physiologic Monitoring System,Koninklijke Philips N.V.,27,2,1,2.0
Physiologic Monitoring System,Blease Medical Equipment Ltd,24,0,1,16.9
Ventilator,Nihon Kohden Corp,28,1,1,2.0
Defibrillator,Blease Medical Equipment Ltd,9,0,2,30.8
Radiographic System,Canon Inc (Toshiba Medical),27,0,1,11.8
Radiographic System,Med-Vantage Sdn Bhd,9,2,2,3.6
Physiologic Monitoring System,Blease Medical Equipment Ltd,7,1,1,27.3
Radiographic System,Siemens Healthineers,0,2,2,16.5
Ventilator,Blease Medical Equipment Ltd,12,0,2,23.4
Ventilator,B. Braun Melsungen AG,23,2,2,2.0
Physiologic Monitoring System,Canon Inc (Toshiba Medical),8,0,2,35.7
Physiologic Monitoring System,Datex-Ohmeda Inc,21,2,2,2.0
Sphygmomanometers,Welch Allyn Inc,9,0,2,36.2
Physiologic Monitoring System,Canon Inc (Toshiba Medical),14,0,2,27.6
Defibrillator,Omron Healthcare Co Ltd,4,1,2,22.4
Radiographic System,Welch Allyn Inc,21,2,2,2.0
Physiologic Monitoring System,GE Healthcare,15,0,2,24.2
Infusion Pump,GE Healthcare,12,0,2,32.4
Sphygmomanometers,Omron Healthcare Co Ltd,21,2,2,2.0
Infusion Pump,Canon Inc (Toshiba Medical),24,0,1,23.2
Ventilator,Koninklijke Philips N.V.,19,0,1,20.4
Radiographic System,Omron Healthcare Co Ltd,17,0,1,19.3
Physiologic Monitoring System,Med-Vantage Sdn Bhd,10,0,1,38.6
Infusion Pump,Welch Allyn Inc,26,2,2,2.0
Radiographic System,Welch Allyn Inc,8,1,1,21.3
Ventilator,B. Braun Melsungen AG,15,1,2,8.9
Defibrillator,Physio-Control Inc,1,2,1,24.1
Sphygmomanometers,Medtronic,25,1,1,11.5
Radiographic System,Siemens Healthineers,24,0,2,8.3
Radiographic System,Welch Allyn Inc,1,0,2,33.1
Defibrillator,Datex-Ohmeda Inc,11,0,1,30.7
Radiographic System,Omron Healthcare Co Ltd,7,0,2,28.9
Ventilator,Nihon Kohden Corp,8,2,2,2.0
Ventilator,Blease Medical Equipment Ltd,11,1,1,15.4
Defibrillator,Physio-Control Inc,25,0,1,13.8
Sphygmomanometers,Welch Allyn Inc,8,1,2,26.8
Physiologic Monitoring System,Omron Healthcare Co Ltd,9,1,1,29.1
Infusion Pump,Drager Medical AG & Co KGaA,24,2,1,2.0
Physiologic Monitoring System,Physio-Control Inc,1,2,1,26.3
Radiographic System,Koninklijke Philips N.V.,15,1,2,6.0
Infusion Pump,Siemens Healthineers,19,1,2,8.9
Defibrillator,Baxter Healthcare Corp,6,1,2,22.8
Defibrillator,Baxter Healthcare Corp,27,1,1,3.1
Sphygmomanometers,B. Braun Melsungen AG,1,0,2,47.4
Infusion Pump,B. Braun Melsungen AG,0,0,1,51.4
Ventilator,Koninklijke Philips N.V.,18,1,1,11.3
Infusion Pump,Nihon Kohden Corp,27,0,1,12.3
Radiographic System,B. Braun Melsungen AG,3,0,1,45.1
Ventilator,Medtronic,23,1,2,2.0
Defibrillator,Welch Allyn Inc,21,0,2,10.4
Infusion Pump,Siemens Healthineers,26,1,1,5.6
Physiologic Monitoring System,Canon Inc (Toshiba Medical),1,1,2,31.8
Sphygmomanometers,Omron Healthcare Co Ltd,30,2,2,2.0
Physiologic Monitoring System,Canon Inc (Toshiba Medical),24,1,2,4.2
Sphygmomanometers,Koninklijke Philips N.V.,13,0,1,40.7
Radiographic System,GE Healthcare,1,1,2,24.0
Physiologic Monitoring System,Omron Healthcare Co Ltd,28,2,1,2.0
Infusion Pump,Omron Healthcare Co Ltd,14,2,2,3.7
Infusion Pump,Drager Medical AG & Co KGaA,11,0,1,38.1
Physiologic Monitoring System,Koninklijke Philips N.V.,4,0,2,39.3
Infusion Pump,Koninklijke Philips N.V.,27,2,1,2.0
Radiographic System,Baxter Healthcare Corp,19,0,1,17.7
Ventilator,Datex-Ohmeda Inc,28,1,2,2.0
Radiographic System,Canon Inc (Toshiba Medical),6,0,2,32.3
Sphygmomanometers,Nihon Kohden Corp,23,0,2,21.6
Radiographic System,Datex-Ohmeda Inc,20,0,2,11.4
Sphygmomanometers,Blease Medical Equipment Ltd,9,0,1,39.0
Infusion Pump,Medtronic,13,1,1,21.5
Ventilator,Med-Vantage Sdn Bhd,13,2,1,3.1
Infusion Pump,Blease Medical Equipment Ltd,4,0,1,43.4
Defibrillator,GE Healthcare,17,2,2,2.0
Infusion Pump,Omron Healthcare Co Ltd,23,0,2,16.0
Sphygmomanometers,Baxter Healthcare Corp,13,1,2,18.6
Infusion Pump,GE Healthcare,1,0,2,46.2
Infusion Pump,Omron Healthcare Co Ltd,25,2,2,2.0
Ventilator,Medtronic,11,1,1,16.4
Infusion Pump,Datex-Ohmeda Inc,21,1,1,14.3
Ventilator,Koninklijke Philips N.V.,23,2,2,2.0
Physiologic Monitoring System,B. Braun Melsungen AG,5,1,1,30.3
Defibrillator,Canon Inc (Toshiba Medical),3,2,1,17.6
Ventilator,B. Braun Melsungen AG,12,1,1,17.7
Sphygmomanometers,Welch Allyn Inc,3,2,2,26.8
Physiologic Monitoring System,Physio-Control Inc,21,1,1,10.4
Ventilator,Drager Medical AG & Co KGaA,13,0,2,20.8
Ventilator,Nihon Kohden Corp,30,1,2,2.0
Defibrillator,Medtronic,15,0,1,30.6
Sphygmomanometers,Drager Medical AG & Co KGaA,28,1,2,2.0
Radiographic System,Welch Allyn Inc,3,1,2,20.5
Radiographic System,Welch Allyn Inc,23,1,2,2.0
Ventilator,Nihon Kohden Corp,24,0,2,9.6
Infusion Pump,Med-Vantage Sdn Bhd,0,0,1,53.7
Sphygmomanometers,Omron Healthcare Co Ltd,12,1,2,22.1
Physiologic Monitoring System,Drager Medical AG & Co KGaA,3,2,1,23.7
Infusion Pump,Datex-Ohmeda Inc,19,0,2,21.0
Infusion Pump,Nihon Kohden Corp,17,0,2,20.6
Sphygmomanometers,Welch Allyn Inc,5,1,2,30.5
Ventilator,Datex-Ohmeda Inc,2,1,1,30.1
Ventilator,Koninklijke Philips N.V.,22,0,1,15.3
Ventilator,Baxter Healthcare Corp,12,0,1,25.5
Ventilator,Datex-Ohmeda Inc,26,0,1,8.4
Radiographic System,Omron Healthcare Co Ltd,15,2,1,2.0
Ventilator,B. Braun Melsungen AG,26,0,1,13.5
Radiographic System,Drager Medical AG & Co KGaA,4,0,1,43.0
Radiographic System,Omron Healthcare Co Ltd,3,0,2,34.6
Ventilator,Physio-Control Inc,20,0,1,17.2
Defibrillator,Canon Inc (Toshiba Medical),7,1,2,19.5
Physiologic Monitoring System,Siemens Healthineers,18,0,2,21.0
Infusion Pump,Welch Allyn Inc,13,0,1,36.1
Radiographic System,Canon Inc (Toshiba Medical),6,1,2,24.0
Sphygmomanometers,Canon Inc (Toshiba Medical),30,0,1,14.3
Sphygmomanometers,Nihon Kohden Corp,13,0,2,30.1
Physiologic Monitoring System,Medtronic,5,2,1,23.0
Sphygmomanometers,Physio-Control Inc,11,1,1,29.0
Defibrillator,B. Braun Melsungen AG,15,2,2,2.0
Sphygmomanometers,Datex-Ohmeda Inc,16,2,1,13.2
Infusion Pump,Baxter Healthcare Corp,12,1,2,14.5
Infusion Pump,Omron Healthcare Co Ltd,22,0,1,18.9
Radiographic System,Koninklijke Philips N.V.,13,1,1,14.2
Ventilator,Siemens Healthineers,28,2,1,2.0
Defibrillator,GE Healthcare,6,1,1,25.8
Radiographic System,Physio-Control Inc,13,1,1,20.8
Defibrillator,Canon Inc (Toshiba Medical),14,0,1,28.0
Ventilator,Baxter Healthcare Corp,11,2,1,4.3
Sphygmomanometers,GE Healthcare,16,1,2,17.0
Sphygmomanometers,Siemens Healthineers,8,2,1,22.0
Ventilator,Medtronic,21,0,2,10.9
Radiographic System,Medtronic,14,0,1,25.4
Ventilator,Drager Medical AG & Co KGaA,11,0,2,28.2
Physiologic Monitoring System,Blease Medical Equipment Ltd,1,1,1,40.8
Infusion Pump,Siemens Healthineers,4,0,1,46.3
Radiographic System,Siemens Healthineers,12,0,1,34.4
Defibrillator,GE Healthcare,26,2,1,2.0
Physiologic Monitoring System,Baxter Healthcare Corp,19,0,2,18.8
Radiographic System,Omron Healthcare Co Ltd,22,2,1,2.0
Ventilator,Nihon Kohden Corp,7,0,2,32.9
Ventilator,Blease Medical Equipment Ltd,26,2,1,2.0
Ventilator,GE Healthcare,13,1,1,15.0
Ventilator,Koninklijke Philips N.V.,14,2,2,2.0
Defibrillator,Canon Inc (Toshiba Medical),10,2,1,6.9
Physiologic Monitoring System,Medtronic,0,0,2,44.1
